point[#],X[0.0-1.0],P[kbar],T[°C],phase,mode[mol%],mode[wt%],mode[vol%],log10(fO2),log10(dQFM),aH2O,aSiO2,aTiO2,aAl2O3,aMgO,aFeO,meltViscosity[Pa.s],density[kg/m3],volume[cm3/mol],heatCapacity[J/kg/K],alpha[1/K],Entropy[J/K],Enthalpy[J],Vp[km/s],Vs[km/s],Vp_S[km/s],Vs_S[km/s],BulkMod[GPa],ShearMod[GPa],SiO2[mol%],Al2O3[mol%],CaO[mol%],MgO[mol%],FeO[mol%],K2O[mol%],Na2O[mol%],TiO2[mol%],O[mol%],Cr2O3[mol%],H2O[mol%],SiO2[wt%],Al2O3[wt%],CaO[wt%],MgO[wt%],FeO[wt%],K2O[wt%],Na2O[wt%],TiO2[wt%],O[wt%],Cr2O3[wt%],H2O[wt%]
1,1.0,1.25,1100.0,system,100.0,100.0,100.0,-6.582577858823972,3.0000605657790436,0.3131548194728652,0.6401941595878594,0.16263808093332582,0.1788088558856194,0.0645091022365113,0.05302451659265242,291.2839064645743,2453.07147517252,0.004077588506172611,[1457.882962131368],[1.400957980539046e-5],[0.15619572012595415],[-782.5544981135837],2.8367596525596723,0.4810701325272532,6.599060590654847,3.5770308347413655,18.983422395409896,0.5677105842112039,58.15514097994517,9.720190334519799,7.346392186680663,6.67959304936066,5.691694343234825,1.2771985271882407,3.38229629975205,0.6541990938190584,1.8988987508985915,0.0,5.194396434600912,57.4540195745402,16.296974162969747,6.774613067746133,4.42646904426469,6.72466606724666,1.97838901978389,3.44719303447193,0.8593110085931102,0.49960200499602003,0.0,1.5387630153876306
1,1.0,1.25,1100.0,pl,3.2188423460729587,3.6183870086748673,3.328264221337135,-,-,-,-,-,-,-,-,,2666.2067444700388,102.99768402771328,1127.7415430816013,2.4804485973991465e-6,0.14555816728930773,-872.8795683569763,6.599060590654847,3.5770308347413655,-,-,70.62088778214886,34.11451414053451,55.64241318448679,22.1787934077566,19.357586815513198,0.0,0.0,0.017075800962859523,2.8041307912805418,0.0,0.0,0.0,0.0,48.69390342779667,32.93869975828338,15.812405020234744,0.0,0.0,0.023429914080707298,2.5315618796045194,0.0,0.0,0.0,0.0
1,1.0,1.25,1100.0,liq,96.78115765392704,96.38161299132513,96.67173577866286,-,-,-,-,-,-,-,-,,2445.0698878823596,67.11641772121948,1464.6444553601264,1.4393026920978954e-5,0.1565495142565392,-779.8575718302861,2.7040330589382093,2.2785541465922055e-9,-,-,17.877849252319827,1.2694335846975498e-17,58.58682095154207,9.363823355038171,6.991263140245435,6.939059260198564,5.915860697936872,1.3267388885604519,3.4217003141752627,0.6798867599093505,1.3762465678519553,0.0,5.3986000645418555,57.87359995372916,15.697615245677873,6.446356131704686,4.5978657201232735,6.988683174002273,2.054882544357229,3.4869376565646975,0.8929461745921359,0.3620486001509148,0.0,1.5990647990977485
2,1.0,1.25,1089.3939393939395,system,100.0,100.0,100.0,-6.721980903409237,3.0000605657790436,0.3217551763456923,0.6433998811653843,0.17045060851932528,0.17240829667151492,0.06545386728322415,0.05492949114726014,340.3670310774089,2456.4772811469275,0.00407231077597505,[1455.7338276855976],[1.3999177104447367e-5],[0.15539418542962402],[-783.5579218761368],2.883061941292676,0.566403086813403,6.591994425746832,3.5737843413210166,19.367594529967008,0.7880685115196085,58.15514097994517,9.720190334519799,7.346392186680663,6.67959304936066,5.691694343234825,1.2771985271882407,3.38229629975205,0.6541990938190584,1.8988987508985915,0.0,5.194396434600912,57.4540195745402,16.296974162969747,6.774613067746133,4.42646904426469,6.72466606724666,1.97838901978389,3.44719303447193,0.8593110085931102,0.49960200499602003,0.0,1.5387630153876306
2,1.0,1.25,1089.3939393939395,liq,95.52740492096954,94.9745124560781,95.36982318658495,-,-,-,-,-,-,-,-,,2445.4296965134677,67.11545570280438,1467.9013900524794,1.4538351513260786e-5,0.15588174240496486,-779.5687097880644,2.700254496267547,2.281638876600589e-9,-,-,17.83054335071331,1.27306036768121e-17,58.612526764239824,9.200134013760072,6.838373154928175,7.029915050079468,5.9932387429755805,1.3438120505166822,3.424725729120369,0.6887727333272251,1.3993873647645447,0.0,5.469114396288066,57.99770977955997,15.449500996726243,6.31613315239324,4.666009294186709,7.092164938248706,2.084874465916164,3.4959711885018745,0.9061591472395474,0.3687639067557449,0.0,1.6227131304717937
2,1.0,1.25,1089.3939393939395,pl,4.472595079030455,5.025487543921889,4.63017681341505,-,-,-,-,-,-,-,-,,2665.2607982106856,102.98389887530222,1125.2541063223641,2.483282827492361e-6,0.14498075613802708,-873.1300039497096,6.591994425746832,3.5737843413210166,-,-,70.42990168216576,34.04053638886235,55.854274353828714,22.072862823085647,19.14572564617129,0.0,0.0,0.01811172869752041,2.909025448216836,0.0,0.0,0.0,0.0,48.903201083821514,32.797401849331045,15.646989323292859,0.0,0.0,0.024863470987638983,2.6275442725669476,0.0,0.0,0.0,0.0
3,1.0,1.25,1078.7878787878785,system,100.0,100.0,100.0,-6.863558460780693,3.000060565779042,0.3305379126671694,0.6465772175835395,0.17860995102017438,0.16599435373945262,0.06633048702693237,0.056850999009943864,398.2117823577079,2459.831525669495,0.004067096308620655,[1453.1141378130917],[1.3989294328274566e-5],[0.15459337795716704],[-784.5530845782264],2.926925800939147,0.6376446069303522,6.584486103664333,3.570351260779207,19.739591541577877,1.0001444859918505,58.15514097994517,9.720190334519799,7.346392186680663,6.67959304936066,5.691694343234825,1.2771985271882407,3.38229629975205,0.6541990938190584,1.8988987508985915,0.0,5.194396434600912,57.4540195745402,16.296974162969747,6.774613067746133,4.42646904426469,6.72466606724666,1.97838901978389,3.44719303447193,0.8593110085931102,0.49960200499602003,0.0,1.5387630153876306
3,1.0,1.25,1078.7878787878785,pl,5.682522123699874,6.381978057133581,5.8897209950253275,-,-,-,-,-,-,-,-,,2664.2570764040615,102.97049276195312,1125.1788696698484,2.488363349022477e-6,0.14440097701645982,-873.356171598883,6.584486103664333,3.570351260779207,-,-,70.22692070562019,33.96237230376817,56.074002898107445,21.962998550946285,18.925997101892563,0.0,0.0,0.019239800959355468,3.0177616480943654,0.0,0.0,0.0,0.0,49.12047480049221,32.65070266622874,15.475256158426753,0.0,0.0,0.026425459631474982,2.727140915220831,0.0,0.0,0.0,0.0
3,1.0,1.25,1078.7878787878785,liq,94.31747787630013,93.61802194286642,94.11027900497467,-,-,-,-,-,-,-,-,,2445.8957539876105,67.10368233630176,1470.4521433009359,1.4682212504251018e-5,0.1552074586677979,-779.3034864913907,2.6966354508357675,2.2846556563036036e-9,-,-,17.78616931739663,1.2766723362583016e-17,58.631647200009205,9.041114829691832,6.693346377336809,7.119727957516904,6.069826425937776,1.3606824281954115,3.4246123169966594,0.6975740940761175,1.422467529461147,0.0,5.539000840778137,58.113894597102686,15.207918410508034,6.192546365850802,4.73354388417155,7.194837780045024,2.1145874048205062,3.5017162226356815,0.91927693127075,0.3754743776834946,0.0,1.6462040259114752
4,1.0,1.25,1068.181818181818,system,100.0,100.0,100.0,-7.007363518530052,3.000060565779042,0.33953079735371544,0.6497260808035574,0.18713252120279217,0.159584601300804,0.06713796699843724,0.05878802221425793,466.52603654132304,2463.1436829341646,0.004061930998372052,[1448.7323055366785],[1.3979555819744643e-5],[0.15379258081883723],[-785.5409089823194],2.968613348058512,0.6993766520133341,6.576776635027432,3.566728531142816,20.100471565418907,1.2047918078056554,58.15514097994517,9.720190334519799,7.346392186680663,6.67959304936066,5.691694343234825,1.2771985271882407,3.38229629975205,0.6541990938190584,1.8988987508985915,0.0,5.194396434600912,57.4540195745402,16.296974162969747,6.774613067746133,4.42646904426469,6.72466606724666,1.97838901978389,3.44719303447193,0.8593110085931102,0.49960200499602003,0.0,1.5387630153876306
